source,target
Carlota68077834,ramiroaguilart
Carlota68077834,marcelaholguin
Carlota68077834,ecuarauz
Carlota68077834,jpjaramillo25
Carlota68077834,ecuarauz
Carlota68077834,LuisaMaldonadoM
Carlota68077834,SDegreace
Carlota68077834,ecuarauz
Carlota68077834,ecuarauz
Carlota68077834,ecuarauz
Carlota68077834,ecuarauz
ColomaGaibor,carlossagnay
ColomaGaibor,MashiRafael
ColomaGaibor,ecuarauz
ColomaGaibor,LassoGuillermo
ColomaGaibor,LucioGutierrez3
ColomaGaibor,GuillermoCeli
ColomaGaibor,ecuarauz
ColomaGaibor,rabascallcarlos
ColomaGaibor,pjfreile
ColomaGaibor,XimenaPena1
ColomaGaibor,LucioGutierrez3
ColomaGaibor,LassoGuillermo
ColomaGaibor,PaulCarrascoC
ColomaGaibor,LucioGutierrez3
ColomaGaibor,GersonAlmeidaEc
ColomaGaibor,PaulCarrascoC
ColomaGaibor,ecuarauz
ColomaGaibor,isidroromero_c
ColomaGaibor,ecuarauz
ColomaGaibor,GuillermoCeli
ColomaGaibor,juanfervelasco
ColomaGaibor,ecuarauz
ColomaGaibor,ecuarauz
ColomaGaibor,isidroromero_c
ColomaGaibor,XimenaPena1
ColomaGaibor,LucioGutierrez3
ColomaGaibor,LassoGuillermo
ColomaGaibor,PaulCarrascoC
ColomaGaibor,ecuarauz
ColomaGaibor,juanfervelasco
ColomaGaibor,ecuarauz
ColomaGaibor,cnegobec
Mauriciomord,rompecabezas24
Mauriciomord,Informa_EC
Mauriciomord,MaferSuasnavas
Mauriciomord,yakuperezg
Mauriciomord,socialholico
Mauriciomord,ecuarauz
